2799,zhouxinan,2,104,/,+/00:26,+/01:18,-1/,/,/,/,/
1786,dont_GiveUp,2,41,/,+2/00:09,+/00:12,/,/,/,/,/
1786,ramez,2,41,/,+1/00:08,+/00:23,-2/,/,/,-1/,/
2405,NASOCHEC,2,70,/,+3/00:15,+/00:25,/,/,/,/,/
2405,Pro100Yan,2,70,/,+1/00:14,+1/00:36,/,/,/,/,/
1993,PrivateWindow,2,50,/,+1/00:15,+/00:25,/,/,/,/,/
1993,karthickmj,2,50,/,+2/00:12,+/00:18,-1/,/,/,/,/
1587,danielagatan,2,34,/,+/00:12,+/00:22,/,-3/,-2/,/,/
1587,yash_kakarot,2,34,/,+/00:09,+/00:25,/,/,/,/,/
9,natsugiri,6,325,/,+/00:12,+/00:18,+/00:28,+/01:33,+1/01:49,+/00:55,/
10,SaveVMK,6,334,/,+/00:03,+/00:14,+/00:33,+/01:37,+/01:56,+/01:11,/
1193,zsmj_sy,2,20,/,+/00:06,+/00:14,-2/,-1/,/,-4/,/
1193,_kookmin20103324_,2,20,+8/-1,+/00:05,+/00:15,-2/,/,/,-3/,/
408,Mamedov,3,65,/,+/00:10,+/00:17,+/00:38,/,/,/,/
408,lsantire,3,65,+1/-1,+/00:11,+/00:16,+/00:38,-4/,/,-5/,/
606,s_da_sailor,3,106,/,+/00:09,+/00:20,+/01:17,/,/,/,/
606,AboAbdoMC,3,106,/,+1/00:06,+1/00:12,+3/00:38,/,/,/,/
1405,maituphuong3,2,28,/,+/00:09,+/00:19,/,/,/,/,/
1405,windhs,2,28,/,+1/00:04,+/00:14,/,/,/,-1/,/
209,teamskiy,4,196,/,+/00:02,+/00:06,+3/00:34,-1/,/,+3/01:34,/
209,Riqirez,4,196,/,+/00:07,+/00:11,+1/00:30,/,/,+2/01:58,/
1009,__BEGINNER,3,207,/,+/00:17,+/00:23,+4/02:07,/,/,/,/
1009,shivang121,3,207,+2/-2,+/01:16,+/00:14,+/01:57,/,/,/,/
809,bqq,3,145,/,+2/00:15,+1/00:26,+/01:14,/,/,-2/,/
813,manybirds,3,146,/,+/00:07,+/00:22,+2/01:37,/,/,/,/
2594,kyoae,2,83,/,+2/00:20,+/00:43,/,/,/,/,/
2194,daniyar.sapatio,2,58,/,+/00:04,+2/00:34,-1/,/,/,/,/
2194,ajsj7598,2,58,/,+1/00:20,+/00:28,-2/,/,/,/,/
3003,KUKUR99,2,132,/,+3/01:11,+/00:31,/,/,/,/,/
3003,stpwt,2,132,/,+2/00:15,+2/01:17,/,/,/,/,/
2799,lqyzxf,2,104,/,+3/00:32,+/00:42,-6/,/,/,-1/,/
2808,ArielXL,2,105,/,+1/00:27,+/01:08,/,/,-1/,/,/
1786,luckys65,2,41,/,+/00:11,+/00:30,/,/,/,/,/
1786,mourad_tu,2,41,/,+/00:09,+1/00:22,/,/,/,/,/
2405,kingarp1914,2,70,/,+2/00:16,+/00:34,/,/,/,/,/
2405,stiPhoneX,2,70,/,+/00:17,+1/00:43,-1/,/,/,/,/
1993,KirillRomanov,2,50,/,+/00:23,+/00:27,-2/,/,/,/,/
1993,dulatcodes,2,50,/,+/00:13,+1/00:27,-3/,/,/,/,/
1587,epsileer,2,34,/,+/00:12,+/00:22,-1/,/,/,/,/
1587,noobie_x,2,34,/,+/00:12,+/00:22,/,/,/,-1/,/
11,Noam527,6,336,/,+/00:01,+/00:04,+/00:12,+3/00:51,+4/01:44,+2/01:14,-2/
1193,abdalkader-s,2,20,/,+/00:06,+/00:14,/,/,/,/,/
1193,ngs_436,2,20,/,+/00:07,+/00:13,-4/,/,/,/,/
408,ambesh,3,65,/,+/00:06,+/00:11,+/00:48,/,/,-3/,/
408,chty_syq,3,65,/,+/00:06,+1/00:11,+/00:38,/,/,-3/,/
606,cristi799,3,106,/,+/00:06,+/00:13,+1/01:17,/,/,-2/,/
606,congthanh123,3,106,/,+3/00:19,+/00:23,+/00:34,/,/,/,/
1405,Dianman,2,28,/,+/00:08,+/00:20,-1/,/,/,-2/,/
1405,buldosik,2,28,/,+/00:12,+/00:16,-1/,/,/,/,/
209,stratoes,4,196,/,-2/,+/00:12,-1/,+/01:14,+/01:34,+/00:16,/
209,LOVE_IS_OVER,4,196,/,+/00:25,+/00:22,+/01:02,/,/,+/01:27,/
1012,linpaws07,3,209,/,+/01:04,+1/01:19,+/00:56,/,/,/,/
1012,tyf0530,3,209,+2/,-3/,+1/00:22,+/01:02,/,/,+2/01:35,/
813,Cinnamoroll,3,146,/,+/00:08,+/00:15,+5/01:13,/,/,-1/,/
813,Sakutara,3,146,/,+/00:05,+/00:11,-2/,/,-1/,+3/01:40,/
2608,satobato12,2,84,/,+/00:33,+/00:51,/,/,/,/,/
2608,AnasAbbas,2,84,/,-3/,+/00:27,+/00:57,-4/,/,/,/
2194,Mr_Emrul,2,58,+6/,-1/,+/00:16,+/00:42,/,/,/,/
2194,_mitchell,2,58,/,+/00:36,+/00:22,/,/,/,/,/
3003,linmiaomiao,2,132,/,+/01:00,+/01:12,-2/,/,/,/,/
3003,tazrilparvez96,2,132,/,+/00:33,+2/01:19,/,/,/,/,/
2808,dasavishal111,2,105,/,+2/00:36,+1/00:39,-1/,/,/,/,/
2808,aman304gupta,2,105,/,+1/00:43,+/00:52,/,/,/,/,/
1786,fosaken,2,41,/,+1/00:11,+/00:20,-6/,/,/,/,/
1786,memento,2,41,/,+1/00:14,+/00:17,-1/,/,/,/,/
2405,Igor_2017,2,70,/,+1/00:40,+1/00:10,-1/,/,/,-5/,/
2405,gaurav172,2,70,/,-1/,+/00:10,+2/00:40,/,/,-2/,/
1993,ProfessorCoconut,2,50,/,+1/00:14,+/00:26,/,/,/,/,/
1993,NoUsed,2,50,/,+1/00:16,+/00:24,/,/,/,/,/
1587,compute,2,34,/,+/00:05,+1/00:19,-1/,/,/,-3/,/
1587,ayush8499,2,34,/,+/00:12,+/00:22,/,/,/,/,/
12,bigbigbigcat111,6,338,/,+/00:05,+/00:11,+/00:25,+/00:58,+3/02:08,+/01:21,/
12,danya090699,6,338,/,+/00:06,+/00:10,+/00:20,+1/01:17,+/01:57,+/01:38,/
1193,arexnj,2,20,/,+/00:06,+/00:14,-2/,/,/,/,/
1193,Wernier,2,20,/,+/00:06,+/00:14,/,/,/,/,/
412,yantang,3,66,/,+/00:05,+/00:08,+/00:53,/,/,/,/
412,mathusalen,3,66,/,+/00:04,+/00:10,+1/00:42,/,/,-3/,/
613,cdsht,3,107,/,+1/00:08,+/00:15,+/01:14,/,/,/,/
613,HadiHadavi,3,107,/,-2/,+/00:14,+/00:33,-8/,/,+/01:00,/
1405,ashish_gupta32,2,28,/,+/00:10,+/00:18,-6/,/,/,/,/
1405,Shock10,2,28,/,+/00:06,+/00:22,-1/,/,/,/,/
209,Nanjo_Qi,4,196,/,+/00:11,+/00:19,+1/00:53,/,/,+/01:43,/
214,xish,4,198,/,+/00:05,+/00:18,+/00:58,/,/,+2/01:37,/
1012,xarr,3,209,/,+1/00:11,+/00:20,+6/01:48,/,/,/,/
1012,wzw19991105,3,209,+1/,+1/00:35,+/00:40,-1/,/,/,+/02:04,/
816,youx,3,147,/,+/00:03,+/00:09,+1/02:05,/,/,-2/,/
816,Diazzz,3,147,/,+/01:50,+1/00:07,+/00:20,-9/,/,-2/,/
2608,trunghieurikikudo99,2,84,/,+3/00:47,+/00:07,/,/,/,/,/
2194,lfforu,2,58,/,+1/00:17,+/00:31,/,/,/,/,/
2194,verymuch4470,2,58,/,+/00:25,+/00:33,-3/,/,/,/,/
3010,Kallaf,2,133,/,+/00:18,+3/01:25,-1/,/,/,/,/
3010,glider.g,2,133,/,+2/00:32,+2/01:01,/,/,/,/,/
2808,frteen,2,105,/,+1/00:58,+/00:37,-2/,/,/,/,/
2808,Ad-007,2,105,/,+/00:26,+2/00:59,/,/,/,/,/
1786,bulletz4breakfastt,2,41,/,+1/00:17,+/00:14,/,/,/,/,/
1812,Andsc,2,42,/,+2/00:08,+/00:14,-4/,/,/,/,/
2405,Tareq_Abrar,2,70,/,+/00:15,+1/00:45,/,/,/,/,/
2405,Yutzu,2,70,/,+4/00:12,+/00:18,-1/,/,/,/,/
1993,Guuuu,2,50,/,+/00:11,+1/00:29,-1/,/,/,/,/
1993,harshkirat2,2,50,/,+1/00:17,+/00:23,-1/,/,/,/,/
1587,Adilet_,2,34,+1/,+1/00:07,+/00:17,/,/,/,-2/,/
1587,Ting-er,2,34,/,+/00:13,+/00:21,/,/,/,/,/
14,nwi,6,341,/,+/00:04,+/00:09,+/00:41,+/00:58,/,+/01:35,+/02:14
15,road_to_9k_mmr,6,363,/,+/00:33,+/00:36,+/01:01,+1/01:45,-2/,+1/01:23,+/00:25
1193,Anubhav,2,20,/,+/00:07,+/00:13,-4/,/,/,/,/
1193,anzuof,2,20,/-1,+/00:07,+/00:13,-2/,/,/,-3/,/
412,zaki_joho,3,66,/,+/00:04,+/00:10,+1/00:42,/,/,-1/,/
412,fauzdar65,3,66,/,+1/00:09,+/00:16,+/00:31,/,/,/,/
613,mredigonda,3,107,/,+/00:06,+/00:10,+2/01:11,/,/,-1/,/
1405,aaakash_rai,2,28,/,+/00:10,+/00:18,-1/,/,/,/,/
1405,iahmad,2,28,/,+/00:10,+/00:18,-1/,/,/,/,/
214,huxiaotaostasy,4,198,/,+/00:10,+/00:19,+/00:28,/,-1/,+1/02:11,/
1016,saurabhcf,3,210,+1/-2,+2/00:14,+/00:26,+3/02:00,/,/,/,/
1017,DopeStar,3,212,/,+5/00:36,+/00:10,+1/01:46,/,/,/,/
816,forty-twoo,3,147,/,+/00:12,+/00:21,/,/,/,+1/01:44,/
816,iSika,3,147,/,+/00:49,+/00:58,+/00:40,-7/,/,/,/
2608,chia33164,2,84,/,+/00:18,+1/00:56,-4/,/,/,/,/
2608,5555555555,2,84,/,-6/,+1/00:56,+/00:18,/,-1/,-3/,/
2194,Evilandrew,2,58,/,+3/00:12,+/00:16,-1/,/,-11/,/,/
2194,Darkstalker,2,58,/,-2/,+/00:17,+/00:41,-3/,/,/,/
3010,i_am_nothing,2,133,/,/,+1/01:02,+/01:01,/,/,-12/,/
3010,SecondToNone,2,133,/,+3/00:26,+1/01:07,/,/,/,/,/
2808,KDSB,2,105,/,+2/00:36,+/00:49,-1/,/,/,/,/
2808,Waximus,2,105,/,+1/00:29,+/01:06,-2/,/,/,/,/
1812,NaimulHasanNaim,2,42,+1/-1,+/00:14,+/00:28,-1/,/,/,/,/
1812,inficreator,2,42,/,+2/00:08,+/00:14,/,/,/,/,/
2405,hsingh1011,2,70,/,+/00:13,+2/00:37,-1/,/,/,/,/
2405,agile,2,70,/,+/00:29,+/00:41,-1/,/,/,/,/
1993,droftware,2,50,/,+/00:19,+/00:31,/,/,/,/,/
1993,HoaPhat1,2,50,+1/,+2/00:13,+/00:17,-1/,/,/,/,/
1587,ayushi_sneha,2,34,/,+/00:12,+/00:22,/,/,/,/,/
1615,lannister07,2,35,/,+1/00:09,+/00:16,-2/,/,/,-1/,/
16,theodor.moroianu,6,384,/,+/00:01,+/00:05,+/00:15,+2/00:58,+15/01:54,+/00:21,/
17,Winniechen,6,394,/,+/00:03,+/00:07,+/00:35,+2/01:41,+6/01:47,+/01:01,/
1193,Subash23,2,20,+1/,+/00:07,+/00:13,-2/,/,/,/,/
1193,Mellor,2,20,/,+/00:06,+/00:14,-1/,/,/,-2/,/
412,Valgt,3,66,/,+/00:06,+/00:14,+/00:46,-4/,/,/,/
417,ViciousCoder,3,67,+13/,+/00:06,+/00:12,+/00:49,/,/,-3/,/
616,shubham__36,3,108,/,+/00:04,+/00:09,+1/01:25,/,-1/,-1/,/
616,dimapet,3,108,/,+/00:22,+/00:28,+/00:58,/,/,/,/
1405,nashir,2,28,/,+/00:10,+/00:18,-1/,/,/,-2/,/
1405,WellHatchedOne,2,28,/,+/00:03,+1/00:15,/,/,/,-1/,/
216,RedBanana,4,200,/,+/00:04,+/00:08,+/00:16,/,/,+5/02:02,-5/
216,lekhang123lc,4,200,/,+/00:05,+/00:11,+/00:55,/,/,+2/01:49,/
1018,art1st,3,213,+1/-10,+2/01:45,+/00:17,+/01:11,/,/,-2/,/
1018,rishabh_singh_,3,213,+3/,+1/00:12,+/00:18,+5/02:03,/,/,/,/
816,wutengaaa,3,147,/,+1/00:17,+/00:28,+1/01:22,/,/,/,/
821,Mn619,3,148,/,+1/00:14,+/00:22,+2/01:22,/,/,/,/
2608,Ganesh_Codes,2,84,/,+1/00:45,+/00:29,/,/,/,/,/
2608,Rifat79,2,84,/,+1/00:58,+/00:16,/,/,/,/,/
2194,nimesh12mahe,2,58,/,+1/00:17,+/00:31,/,/,/,/,/
2216,Amidethuong27,2,59,/,+3/00:18,/,/,/,-1/,+/00:11,/
3014,nstahmmed,2,134,/,+1/00:41,+/01:23,/,/,/,/,/
3014,t4k4g1,2,134,/,+1/01:25,+1/00:29,/,/,/,/,/
2808,jie_jq,2,105,/,+1/01:05,+1/00:20,-1/,/,/,/,/
1812,namanbansal013,2,42,/,+1/00:14,+/00:18,-1/,/,/,/,/
1812,ishibashijun,2,42,/,+1/00:11,+/00:21,-13/,/,-3/,/,/
2405,shanto_kundu,2,70,+1/,+/00:28,+/00:42,/,/,/,/,/
2405,ashiknur,2,70,/,+/00:35,+/00:35,/,/,/,/,/
1993,U_M_R,2,50,/,+1/00:16,+/00:24,/,/,/,/,/
2016,shubhamdamani,2,51,+1/,+/00:41,+/00:10,-5/,/,/,/,/
1615,Java,2,35,+1/,+/00:19,+/00:16,-1/,/,/,/,/
1615,Barnoul,2,35,/,+/00:09,+1/00:16,-1/,/,/,/,/
18,Shayan.P,6,405,/,+/01:12,+/01:06,+/01:02,+1/02:03,+1/00:27,+/00:35,/
19,ec24,6,434,/,+/00:04,+/00:07,+1/01:00,+4/00:58,+7/02:00,+/01:05,/
1219,Saurabh303,2,21,/,+/00:07,+/00:14,-4/,/,/,-4/,/
417,ShahedMM,3,67,/,+/00:06,+/00:12,+/00:49,/,/,-1/,/
417,mohamad,3,67,/,+1/00:06,+/00:09,-1/,-12/,/,+1/00:32,/
618,HCPS42,3,109,/,+/00:07,+/00:16,+2/01:06,/,/,-3/,/
618,SoulTch,3,109,/,+/00:09,+/00:15,+2/01:05,/,/,-3/,/
1405,saquib2508,2,28,/,+/00:08,+/00:20,/,/,/,-1/,/
1405,Strange_Evil,2,28,/,+/00:08,+/00:20,-1/,/,/,/,/
216,Skybytskyi.Nikita,4,200,/,+/00:03,+/00:05,+3/01:03,-1/,/,+1/01:29,/
216,GZY_AK_IOI,4,200,/,+1/00:14,+/00:20,+/01:11,/,/,+/01:25,/
1020,Charless,3,214,/,+2/00:35,+1/00:09,+2/02:00,/,/,/,/
1020,nanobyte,3,214,/,+3/00:30,+/00:35,+2/01:39,/,/,/,/
822,k_8,3,149,/,+1/00:08,+/00:17,+1/01:44,/,/,/,/
822,Strive-for-excellence,3,149,/,+1/00:11,+1/00:18,+/01:40,/,/,/,/
2608,czq1992,2,84,/,+1/00:31,+1/00:33,/,/,/,/,/
2608,kamlesh.goshwami,2,84,/,+/00:56,+/00:28,/,/,/,/,/
2216,xinsan1999,2,59,/,+2/00:15,+/00:24,-1/,/,/,-1/,/
2216,Lolkekzor,2,59,/,-1/,+/00:09,+1/00:40,/,/,-4/,/
3014,pj21,2,134,/,+5/01:04,+/00:20,-2/,/,/,/,/
3017,ankit.sangwan1999,2,135,/,+1/00:54,+/01:11,/,/,/,/,/
2816,detaomega,2,106,+2/-5,-2/,+/00:21,-5/,/,/,+/01:25,/
2816,ragnar7,2,106,/,+2/00:31,+1/00:45,/,/,/,/,/
1812,EtoNagisa,2,42,/,-3/,+/00:08,+1/00:24,-8/,/,/,/
1812,puniluca,2,42,/,+1/00:13,+/00:19,/,/,/,/,/
2405,_itachi_uchiha,2,70,/,+/00:20,+1/00:40,/,/,/,-2/,/
2016,Minerva_99,2,51,/,+1/00:14,+/00:27,/,/,/,/,/
2016,gugupa,2,51,/,+1/00:17,+/00:24,/,/,/,/,/
1615,muditsurana,2,35,/,+1/00:10,+/00:15,-1/,/,/,/,/
1615,jhwest5024,2,35,/,+2/00:05,+/00:10,-1/,-2/,/,/,/
20,Isaf27_loves_me,6,450,/,+/00:26,+/00:28,+/00:40,+7/01:59,+/01:16,+/01:31,-1/
21,Crossguard,6,467,/,+/00:03,+/00:07,+/00:16,+/01:38,+10/02:08,+4/01:15,/
1219,Forever_Frivolous,2,21,/,+/00:07,+/00:14,/,/,/,/,/
1219,Mutevazi,2,21,/,+/00:07,+/00:14,-2/,/,-5/,/,/
417,sudoBug,3,67,/,+/00:08,+/00:15,+/00:44,/,/,-7/,/
417,tang666,3,67,/,+/00:04,+/00:13,+/00:50,/,/,/,/
618,2016wudi,3,109,/,+/00:03,+/00:09,-1/,/,/,+3/01:07,/
618,petko_mitkov,3,109,/,+/00:10,+/00:16,+/01:23,/,/,-3/,/
1405,ShubhaK2799,2,28,/,+/00:10,+/00:18,-2/,/,/,/,/
1405,A.H.Ghaznavi,2,28,/,+1/00:06,+/00:12,-3/,/,/,-2/,/
216,barni120400,4,200,/,+2/00:10,+/00:16,+1/00:50,+1/01:24,/,/,/
216,Dup4,4,200,/,+/00:06,+/00:13,+1/00:44,/,/,+3/01:37,/
1022,OTTFF,3,217,/,-1/,+/00:26,+/00:47,/,/,+3/01:54,/
1023,durid17,3,218,/,+2/00:45,+/00:23,-1/,/,/,+/02:10,/
822,OmIngAr,3,149,/,+1/00:06,+2/00:18,+/01:35,/,-1/,/,/
825,Valkyrie28,3,150,/,+/00:17,+/00:28,+/01:45,/,/,/,/
2617,amitnsky,2,85,/,+1/00:17,+2/00:38,/,/,/,/,/
2617,vaibhavb,2,85,+1/,-1/,+/00:11,+1/01:04,/,/,/,/
2216,raja_123,2,59,/,+1/00:18,+/00:31,/,/,/,-3/,/
2216,ojas_bansal,2,59,/,+1/00:21,+/00:28,-1/,/,/,/,/
3017,kiet.nguyenbk2804,2,135,/,-1/,+/00:20,-1/,/,/,+/01:55,/
3017,Bdeveloper,2,135,/,+/00:40,+1/01:25,/,/,/,/,/
2816,hananawi,2,106,/-1,+2/00:29,+1/00:47,/,/,/,/,/
2819,MikuSakula,2,107,/,+5/00:33,+/00:24,-3/,/,/,/,/
1812,Raja_nsvkp,2,42,/,+1/00:12,+/00:20,-3/,/,/,/,/
1812,LightDan,2,42,/,+/00:17,+/00:25,-1/,/,/,/,/
2405,rc_4594,2,70,+1/,-1/,+/00:14,+1/00:46,/,/,-1/,/
2016,heyuhhh,2,51,/,+2/00:12,+/00:19,/,/,/,/,/
